Ссылки,Код каспи,Код 1C,Наименование,Бренд,Поставщик,Продавец_1,Цена_1,Продавец_2,Цена_2,Продавец_3,Цена_3,Продавец_4,Цена_4,Продавец_5,Цена_5
https://kaspi.kz/shop/p/denzel-dwp-1500-100051442/?c=710000000,100051442,00000014638,DENZEL DWP-1500,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,16567.0,Алтын Орда Строймаркет,18840.0,Kiturami Казахстан,20080.0,МИР-инструментов,20080.0,Сеть магазинов TSSP,20080.0
https://kaspi.kz/shop/p/denzel-dwp-2000-100051396/?c=710000000,100051396,00000014640,DENZEL DWP-2000,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Сеть магазинов TSSP,17476.0,Строймаркет ALTOR,17486.0,All Stroy,19510.0,МИР-инструментов,21190.0,Qural-Saiman,21190.0
https://kaspi.kz/shop/p/denzel-dwp-750-60500007/?c=710000000,60500007,00000014637,Denzel DWP-750,Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,10470.0,STROYMANIA,12350.0,All Stroy,12350.0,ЭЛЕКТРО,12350.0,Алтын Орда Строймаркет,12350.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-ds-180-compact-mma--100147694/?c=710000000,100147694,00000014376,DENZEL сварочный инвертор DS-180 Compact (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Крепыж,32450.0,STROYMANIA,32450.0,Ravelin,32450.0,МИР-инструментов,35250.0,ХОЗЯИН,35250.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-dm-160-standart-mig-mag--108580740/?c=710000000,108580740,УТ-00001909,DENZEL сварочный инвертор DM-160 Standart (MIG/MAG),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,ИП Трехлебов Stroymarket.p ,36170.0,All Stroy,36180.0,МИР-инструментов,39300.0,ХОЗЯИН,39300.0,GMARKET KZ,39300.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-dm-180-standart-94324-mma--108613298/?c=710000000,108613298,УТ-00001910,DENZEL сварочный инвертор DM-180 Standart (94324) (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,34313.0,ИП Трехлебов Stroymarket.p ,42660.0,МИР-инструментов,46350.0,ХОЗЯИН,46350.0,GMARKET KZ,46350.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-dm-200-standart-mig-mag--108580742/?c=710000000,108580742,УТ-00001911,DENZEL сварочный инвертор DM-200 Standart (MIG/MAG),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,40292.0,BOKENTAU COMPANY,47565.0,"ТОО ""EVROLIDER 23""",50110.0,All Stroy,54430.0,МИР-инструментов,54430.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-dm-220-standart-94326-mma--108613303/?c=710000000,108613303,УТ-00001912,DENZEL сварочный инвертор DM-220 Standart (94326) (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Строймаркет ALTOR,45851.0,BOKENTAU COMPANY,54120.0,"ТОО ""EVROLIDER 23""",54169.0,AVTO-PARADISE,57020.0,All Stroy,61940.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-ds-160-compact-mma--100147672/?c=710000000,100147672,00000014375,DENZEL сварочный инвертор DS-160 Compact (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,STROYMANIA,30600.0,All Stroy,33230.0,МИР-инструментов,33230.0,ХОЗЯИН,33230.0,Qural-Saiman,33230.0
https://kaspi.kz/shop/p/denzel-svarochnyi-invertor-ds-200-compact-mma--100147662/?c=710000000,100147662,00000014377,DENZEL сварочный инвертор DS-200 Compact (MMA),Denzel,Мир инструмента-Алматы в г. Караганда ТОО,Алтын Орда Строймаркет,35300.0,Крепыж,36510.0,STROYMANIA,36510.0,All Stroy,36510.0,Ravelin,36510.0
