Ссылки;Код каспи;Код 1C;Наименование;Бренд;Поставщик
https://kaspi.kz/shop/p/shlifmashina-uglovaja-bosch-gws-180-li-06019h9021-101183983/?c=710000000;101183983;00000061147;Шлифмашина угловая Bosch GWS 180-LI 06019H9021;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-cbh-240-f-0615990l2s-100018186/?c=710000000;100018186;00000032687;Bosch CBH 240 F 0615990L2S;Bosch;поставщик для промо товаров
https://kaspi.kz/shop/p/shlifmashina-uglovaja-bosch-gws-670-0601375606-12500513/?c=710000000;12500513;00000032856;Шлифмашина угловая Bosch GWS 670 0601375606;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-pointteq-2-608-577-218-5-mm-101576210/?c=710000000;101576210;00000039024;Bosch PointTeQ 2.608.577.218 5 мм;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-pba-18v-2-1600a005b0-102434671/?c=710000000;102434671;00000032296;Bosch PBA 18V 2 1600A005B0;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-gst-8000-e-30100008/?c=710000000;30100008;00000032966;BOSCH GST 8000 E;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-gbh-240-f-2-7-dzh-sds-plus-12400131/?c=710000000;12400131;00000032686;Bosch GBH 240 F 2.7 Дж, SDS-Plus;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/shlifmashina-uglovaja-bosch-gws-670-12500725/?c=710000000;12500725;УТ-00018540;Шлифмашина угловая Bosch GWS 670;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-drel--shurupovert-gsr-185-06019k3001-106790970/?c=710000000;106790970;00000073886;Bosch дрель-шуруповерт GSR 185 06019k3001;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/moika-vysokogo-davlenija-robert-bosch-061599261b-130-bar-106241579/?c=710000000;106241579;УТ-00000850;Мойка высокого давления Robert BOSCH 061599261B, 130 бар;Bosch;поставщик для промо товаров
https://kaspi.kz/shop/p/bosch-kolesnaja-06008a6101-105498505/?c=710000000;105498505;УТ-00002045;Bosch колесная 06008A6101;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/moika-elektricheskaja-bosch-advancedaquatak-140-140-bar-100626420/?c=710000000;100626420;00000061166;Мойка электрическая Bosch AdvancedAquatak 140, 140 бар;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/frezer-vertikal-nyi-bosch-professional-pof-1200-ae-42400006/?c=710000000;42400006;00000032917;Фрезер вертикальный Bosch Professional POF 1200 AE;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-drel--shurupovert-gsr-120-li-06019g8000-100056272/?c=710000000;100056272;00000032381;Bosch дрель-шуруповерт GSR 120-LI 06019G8000;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-drel--shurupovert-gsr-185-li-06019k3000-106180313/?c=710000000;106180313;00000073885;Bosch дрель-шуруповерт GSR 185-LI 06019K3000;Bosch;Роберт Бош ТОО
https://kaspi.kz/shop/p/bosch-2608635376-1-sht-109710905/?c=710000000;109710905;00000035126;Bosch 2608635376 1 шт;Bosch;Роберт Бош ТОО
